teacher_id,full_name,department,max_hours_per_day,email,phone,preferences
T001,Иванов И.И.,ИИС,4,ivanov@guu.ru,+7(495)123-45-67,"{}"
T002,Петров П.П.,ИИС,4,petrov@guu.ru,+7(495)234-56-78,"{}"
T003,Сидорова А.А.,ИИС,3,sidorova@guu.ru,+7(495)345-67-89,"{}"
T004,Соколов В.В.,ИИС,4,sokolov@guu.ru,+7(495)456-78-90,"{}"
T005,Козлова Е.Е.,ИИС,3,kozlova@guu.ru,+7(495)567-89-01,"{}"
T006,Морозов Д.Д.,ИОМ,4,morozov@guu.ru,+7(495)678-90-12,"{}"
T007,Новикова М.М.,ИОМ,3,novikova@guu.ru,+7(495)789-01-23,"{}"
T008,Волков А.А.,ИОМ,4,volkov@guu.ru,+7(495)890-12-34,"{}"
T009,Павлова О.О.,ИОМ,3,pavlova@guu.ru,+7(495)901-23-45,"{}"
T010,Федоров И.И.,ИЭФ,4,fedorov@guu.ru,+7(495)012-34-56,"{}"
